,SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalPrice,SalesDate,TransactionNumber
4694414,4694415,23,58107,9,15,0.0,0.0,2018-01-01 00:29:43.370,IVYISFXX9W3477NRS13N
3651916,3651917,11,98596,353,25,0.0,0.0,2018-01-01 00:37:55.610,GKHKSBM3344HYLRMT4RW
474058,474059,5,25668,390,7,0.0,0.0,2018-01-01 02:09:30.300,KBBH2VY193PCRLNV7QC1
4535309,4535310,5,28393,178,8,0.0,0.0,2018-01-01 06:59:23.310,24V2Y3Y6VAHRQ26UASSL
6542511,6542512,1,28834,303,8,0.0,0.0,2018-01-01 07:04:10.840,UF5OQBKFJEFYV7RSS5XS
453130,453131,4,41179,378,11,0.0,0.0,2018-01-01 08:16:26.020,JBDHLH18Z6VFHVDF6021
1442997,1442998,11,81837,182,21,0.0,0.0,2018-01-01 08:45:14.890,ZYT7R7LM2SZVC09FX9KC
851404,851405,3,17012,348,5,0.0,0.0,2018-01-01 10:22:56.130,8VBPT4YCFCZJ9BCNYQNL
4644800,4644801,4,28755,12,8,0.0,0.0,2018-01-01 14:53:12.730,21190ZHPFIZR31BV07Q5
63682,63683,2,75251,366,20,0.1,0.0,2018-01-01 23:17:53.160,XAFYWFPFIQ4J6UDBKBQM
1048672,1048673,18,79871,409,21,0.0,0.0,2018-01-02 01:44:23.760,FY5WJRTS6A8C6VM4NSI3
183272,183273,4,28433,9,8,0.0,0.0,2018-01-02 03:20:30.400,CJ6F0NNA6N3ILBN36BIL
4026518,4026519,10,2932,219,1,0.0,0.0,2018-01-02 04:30:51.920,LFYV7SDCY1II4YA018JS
5450808,5450809,15,34378,184,9,0.0,0.0,2018-01-02 07:46:25.640,LMC8KTRL2HNWIX8VFGCD
48972,48973,21,71239,202,19,0.0,0.0,2018-01-02 10:20:25.930,RNGERLF97FHOG2RTZNCX
3460426,3460427,4,64294,189,17,0.0,0.0,2018-01-02 10:48:35.040,MKFXL90DG8Z615B8XSS9
3350113,3350114,13,38748,298,10,0.0,0.0,2018-01-02 10:55:37.600,V0E7ADB5QNUB5A4NJWJS
6654056,6654057,7,9051,365,3,0.0,0.0,2018-01-03 07:07:19.470,XS0UN3WYZJKCA8T3GDIY
4831344,4831345,13,22094,333,6,0.0,0.0,2018-01-03 07:55:22.230,CUC7SMZHQ8CQ6IUFTHCZ
3964587,3964588,1,5898,284,2,0.0,0.0,2018-01-03 12:52:22.750,E5NE638XFDJO3BTQPVOT
6246600,6246601,6,34337,3,9,0.0,0.0,2018-01-03 16:11:26.710,ITM61OZEDBK9IFMOWVHF
3191267,3191268,3,58977,371,15,0.0,0.0,2018-01-03 19:37:07.310,QQ51WZHWAV84INZLXD8R
5917312,5917313,23,18930,11,5,0.0,0.0,2018-01-03 21:54:19.270,BL5LD4ISXFBCTAFLORBT
4128048,4128049,8,21831,37,6,0.0,0.0,2018-01-03 23:19:24.800,069X8O6I6H2PAJNONK61
5923529,5923530,4,85979,212,22,0.0,0.0,2018-01-04 01:32:48.260,2FFN9Y25UVJCQJVU8DB4
5941331,5941332,15,1870,50,1,0.2,0.0,2018-01-04 05:15:15.550,F426CKILUAYSUXU6LIVW
2939877,2939878,7,36481,234,10,0.0,0.0,2018-01-04 05:38:05.210,YCAO59HLLEIBYSKBP381
3435591,3435592,7,6646,105,2,0.0,0.0,2018-01-04 07:36:27.870,UFMAPOC3M53MYHCXWP29
4643922,4643923,5,78266,307,20,0.0,0.0,2018-01-04 10:15:55.590,UYQOS7MBCSVRVXWDM79E
3319031,3319032,2,37222,394,10,0.0,0.0,2018-01-04 13:03:47.270,ISXL8L547BC0SGMIKK9W
4216993,4216994,17,1873,207,1,0.0,0.0,2018-01-04 14:20:46.210,WZWNF3EV1CP6BS00EC8U
